TimeStamp;AngleElbow;AngleWrist;AngleShoulder;LShoulderElbow;LElbowWrist
295667718;130.6360545;89.7533048;119.5396899;0.276685388;0.229827465
295667718;132.9014064;171.5538664;120.5865519;0.20471177;0.252379089
295667734;132.1340549;171.6065027;120.9724155;0.2074343;0.252155834
295667796;131.6454555;171.604664;121.6108291;0.206904081;0.251929179
295667812;131.5012161;172.0881476;121.9013088;0.206622008;0.251711874
295667843;131.4627981;171.9412239;122.2882746;0.205242062;0.251713222
295667875;131.3739231;171.8262148;122.6388601;0.204104419;0.251715332
295667906;131.550477;172.11263;123.1945948;0.201822615;0.25169588
295667937;131.4372091;167.7129133;123.3514803;0.201282239;0.251734908
295667984;132.1634053;166.4035154;123.2418853;0.203187053;0.251742095
295668015;132.3767723;166.7160461;124.1010509;0.199168885;0.251720583
295668046;132.4584928;167.5310357;124.1786213;0.199885992;0.251714773
295668078;132.3048247;167.6811739;123.6471431;0.199557585;0.251716078
295668109;132.9961938;167.4946984;121.9970284;0.20604242;0.251719476
295668140;132.9714945;168.4818265;121.8856696;0.207644567;0.25171987
295668171;133.025989;167.8816971;121.3464334;0.208049481;0.251718224
295668203;133.2056613;167.7845541;120.6194663;0.208700961;0.251717794
295668234;133.9181607;167.2108539;119.8566957;0.211662824;0.251714171
295668281;140.9654985;160.0333205;119.5606838;0.211367027;0.200630523
295668312;138.6926801;160.9991045;119.002572;0.214722224;0.250985684
295668359;141.462443;158.9699697;118.3282995;0.217338499;0.207999507
295668375;141.351186;158.7353962;118.1718331;0.217649905;0.207863918
295668421;140.5469269;150.5211536;118.0207506;0.218245511;0.244182453
295668437;139.48496;152.4010388;119.0459475;0.210440514;0.250140035
295668468;139.72569;157.0084886;119.2642717;0.208551664;0.228086223
295668515;139.1840207;153.1420164;119.1790366;0.207831406;0.249652743
295668546;140.3802172;157.3861461;119.1288218;0.207359737;0.219230744
295668578;138.1780233;153.2459532;119.0775906;0.206194732;0.249277484
295668609;137.8657817;155.7949693;119.1620181;0.206635481;0.249074166
295668640;137.7716024;157.0971177;119.0985145;0.206566573;0.248869036
295668687;137.6888372;156.5524259;119.0671995;0.206588426;0.248677226
295668703;138.0111633;155.549036;118.8986031;0.207843352;0.24847857
295668750;140.726535;157.8255758;118.7971904;0.208546107;0.208787477
295668781;137.427942;162.4808857;118.6739367;0.20912209;0.248191879
295668812;140.185422;154.1358954;118.7422794;0.207966254;0.208059309
295668843;140.3780737;154.4117269;118.5855866;0.208304834;0.20412389
295668875;140.3907988;154.4365464;118.4648819;0.208769118;0.202171091
295668921;140.3471941;154.3915418;118.5302541;0.207799652;0.20199065
295668937;140.348497;154.8756207;118.5091572;0.207313673;0.201817233
295668984;140.2827748;154.8965562;118.4418343;0.207355677;0.200676579
295669015;140.0669079;155.1596164;118.6105727;0.206469637;0.200776246
295669046;139.9737112;154.2028418;118.5721623;0.207379659;0.199659378
295669078;140.0307787;154.3467773;118.4933764;0.207743135;0.198897912
295669109;139.9987519;154.137657;118.3902031;0.208163899;0.200529952
295669156;139.98973;154.0411893;118.3425176;0.208604166;0.200058855
295669171;140.089778;154.0799624;118.3064855;0.208979529;0.198681969
295669218;140.173827;155.4321151;118.2585263;0.209244956;0.197618425
295669250;140.2580881;155.3776319;118.188708;0.209357361;0.19685131
295669281;140.3679842;155.5360472;118.1248225;0.209732195;0.195573532
295669312;140.2953787;155.5939099;118.0693022;0.210306954;0.194395214
