TimeStamp;AngleElbowRight;AngleWristRight;AngleShoulderRight;AngleElbowLeft;AngleWristLeft;AngleShoulderLeft;LShoulderElbow;LElbowWrist
297561515;116.3028977;146.5633861;109.043672;135.2665313;153.203562;128.7297658;0.235843262;0.250303948
297561531;130.5366098;172.973333;119.0107861;146.1007335;166.3694761;128.1870492;0.196984553;0.225016745
297561546;131.7661191;170.633784;119.115641;146.8241191;164.431759;128.2011;0.196714321;0.224943286
297561578;132.4392021;166.7485792;119.0804997;146.6163782;164.905877;128.1871544;0.196813108;0.224904908
297561625;132.7707285;165.6113057;119.0775304;146.5355108;164.8062054;128.1684938;0.196821422;0.22488503
297561656;133.4714185;160.9754099;119.0618443;146.4939157;164.9288653;128.1663417;0.197220942;0.224842421
297561687;137.6078775;156.305201;119.1439667;146.4322299;164.8928034;128.1503487;0.197296235;0.192031583
297561718;137.8692862;156.3654765;119.14897;147.3035554;164.0730802;128.1252775;0.197452083;0.190336683
297561750;133.4285651;162.6261888;119.1389276;147.475512;163.842868;128.1394811;0.197529597;0.224846554
297561796;138.113432;155.218743;119.3587215;147.0385798;164.4788789;128.0840996;0.196432336;0.192352127
297561812;135.3147146;158.025055;119.3727655;146.7304233;164.906031;128.0168039;0.196123591;0.216622552
297561859;129.5487642;175.1810149;119.393039;146.6107459;164.9691725;128.0203561;0.196381502;0.225128266
297561890;134.3148323;159.0434022;119.3796744;147.1068615;164.2858777;127.995969;0.196588466;0.224358603
297561921;130.4020023;174.8498625;119.4999299;146.871646;164.6357978;128.0195152;0.195656426;0.225099982
297561953;130.3601913;175.2455089;119.5164636;146.5410002;165.3953333;128.0031803;0.195962828;0.225110408
297561984;130.3989733;175.4203928;119.5576187;147.0787536;164.9774055;128.0032101;0.195579257;0.225110475
297562015;130.294477;172.6135314;119.4994184;146.8287107;164.901614;128.0049159;0.195937313;0.225125257
297562062;134.3237414;156.3755283;119.4732124;147.0956948;164.9620895;127.98158;0.196406741;0.224468997
297562078;136.8754964;153.5928802;119.4397623;147.4470291;163.760891;127.9934331;0.196614882;0.199151522
297562125;137.3145093;147.8840178;119.4056637;147.6471876;164.1993621;127.9845461;0.196673473;0.19628356
297562156;137.4489143;147.4559172;119.4315492;147.1141853;164.5647175;127.9756182;0.196787131;0.194987948
297562187;133.6190676;158.9084356;119.4182002;146.8873291;165.2120531;127.9666358;0.196938285;0.224972416
297562218;133.6873976;158.4704163;119.5125986;146.7087222;165.4710512;127.9553666;0.195933979;0.224978816
297562250;133.7836076;159.2259137;119.6384017;146.6582797;165.3384544;127.9683515;0.194911741;0.224962549
297562281;136.6712135;155.249902;119.6538026;146.6268906;165.307569;127.9722898;0.195848361;0.199170109
297562312;136.9293461;149.4141265;119.7229242;147.1243484;164.2125134;127.9367573;0.195456993;0.197715733
297562343;137.0069656;149.2640932;119.6574938;147.2942944;163.6781535;127.9737604;0.195673637;0.196820837
297562390;137.1399788;149.0982653;119.6534278;146.9103198;164.8004024;127.9702033;0.195727461;0.195923844
297562421;137.2426193;149.6751174;119.6485607;146.6762032;165.0546937;127.9631402;0.195782037;0.19523194
297562453;137.2925944;150.0647528;119.6411482;146.5387458;165.3366359;127.9468604;0.195859102;0.194829658
297562484;137.2027141;156.962135;119.6523023;146.5359449;165.7145361;127.9759598;0.196290705;0.194246783
297562515;137.1686829;156.7842998;119.6572617;147.2932428;164.0555185;127.9605642;0.196368486;0.194193371
297562546;137.3960243;156.4101678;119.5192625;146.9522161;164.5598625;127.9469863;0.196565621;0.193494005
